timestamp,total,equivalent,divergent,rate
2026-05-12T13:54:17.535Z,197,183,14,0.9289
2026-05-13T08:19:05.798Z,197,183,14,0.9289
2026-06-08T20:12:00.373Z,204,204,0,1.0000
2026-06-09T19:43:45.279Z,208,208,0,1.0000
2026-06-10T06:26:58.342Z,208,208,0,1.0000
2026-06-11T06:52:16.392Z,208,208,0,1.0000
2026-06-12T06:44:28.144Z,208,208,0,1.0000
2026-06-13T06:19:40.825Z,208,208,0,1.0000
2026-06-14T06:45:15.162Z,208,208,0,1.0000
2026-06-15T07:23:50.457Z,208,208,0,1.0000
2026-06-16T07:31:19.146Z,208,208,0,1.0000
2026-06-22T02:38:58.446Z,213,213,0,1.0000
2026-06-22T03:12:50.651Z,213,213,0,1.0000
2026-06-22T07:28:25.942Z,213,213,0,1.0000
2026-06-23T06:09:59.878Z,213,213,0,1.0000
2026-06-24T06:09:31.494Z,213,213,0,1.0000
2026-06-25T06:10:16.458Z,213,213,0,1.0000
2026-06-26T06:15:13.365Z,213,213,0,1.0000
2026-06-27T05:57:06.598Z,213,213,0,1.0000
2026-06-28T06:22:19.032Z,213,213,0,1.0000
2026-06-29T06:52:14.847Z,213,213,0,1.0000
2026-06-30T06:16:12.951Z,217,217,0,1.0000
2026-07-01T06:29:40.172Z,217,217,0,1.0000
2026-07-02T06:03:10.442Z,217,217,0,1.0000
2026-07-03T05:56:09.367Z,217,217,0,1.0000
2026-07-04T05:48:51.844Z,217,217,0,1.0000
2026-07-05T06:08:54.253Z,217,217,0,1.0000
2026-07-06T06:39:59.043Z,217,217,0,1.0000
2026-07-07T06:11:14.139Z,217,217,0,1.0000
2026-07-08T05:24:24.701Z,217,217,0,1.0000
2026-07-09T06:07:45.822Z,217,217,0,1.0000
2026-07-10T06:06:36.889Z,217,217,0,1.0000
2026-07-11T05:15:35.866Z,217,217,0,1.0000
2026-07-12T05:31:03.072Z,217,217,0,1.0000
