timestamp,total,value,rate
2026-06-09T20:11:23.231Z,49,49,1.0000
2026-06-10T10:00:15.055Z,49,49,1.0000
2026-06-11T06:52:56.397Z,49,49,1.0000
2026-06-12T06:45:05.531Z,49,49,1.0000
2026-06-13T06:20:18.513Z,49,49,1.0000
2026-06-14T06:46:12.508Z,49,49,1.0000
2026-06-15T07:24:30.480Z,49,49,1.0000
2026-06-16T07:32:16.427Z,49,49,1.0000
2026-06-22T07:29:16.674Z,49,49,1.0000
2026-06-23T06:10:39.983Z,49,49,1.0000
2026-06-24T06:10:10.597Z,49,49,1.0000
2026-06-25T06:10:56.293Z,49,49,1.0000
2026-06-26T06:16:14.433Z,49,49,1.0000
2026-06-27T05:58:04.295Z,49,49,1.0000
2026-06-28T06:23:17.358Z,49,49,1.0000
2026-06-29T06:53:10.586Z,49,49,1.0000
2026-06-30T06:17:07.608Z,49,49,1.0000
2026-07-01T06:30:22.566Z,49,49,1.0000
2026-07-02T06:04:07.726Z,49,49,1.0000
2026-07-03T05:56:50.991Z,49,49,1.0000
2026-07-04T05:49:35.162Z,49,49,1.0000
2026-07-05T06:09:58.219Z,49,49,1.0000
2026-07-06T06:40:59.938Z,49,49,1.0000
2026-07-07T06:11:55.851Z,49,49,1.0000
2026-07-08T05:25:07.494Z,49,49,1.0000
2026-07-09T06:08:29.528Z,49,49,1.0000
2026-07-10T06:07:19.742Z,49,49,1.0000
2026-07-11T05:16:08.184Z,49,49,1.0000
2026-07-12T05:31:44.600Z,49,49,1.0000
2026-07-13T05:40:30.126Z,49,49,1.0000
2026-07-14T04:56:03.326Z,49,49,1.0000
2026-07-15T04:54:29.065Z,49,49,1.0000
2026-07-16T05:13:56.390Z,49,49,1.0000
2026-07-17T05:18:24.994Z,49,49,1.0000
2026-07-18T04:51:50.842Z,49,49,1.0000
2026-07-19T05:27:01.367Z,49,49,1.0000
2026-07-20T05:43:25.109Z,49,49,1.0000
2026-07-21T05:24:06.170Z,49,49,1.0000
2026-07-22T05:22:32.855Z,49,49,1.0000
2026-07-23T05:28:14.795Z,49,49,1.0000
2026-07-24T05:23:37.763Z,49,49,1.0000
2026-07-25T05:20:01.394Z,49,49,1.0000
2026-07-26T05:35:55.323Z,49,49,1.0000
2026-07-27T05:54:20.911Z,49,49,1.0000
2026-07-28T05:18:19.257Z,49,49,1.0000
2026-07-29T08:12:55.641Z,49,49,1.0000
2026-07-30T05:12:00.083Z,49,49,1.0000
2026-08-02T10:55:13.443Z,49,49,1.0000
2026-08-03T05:46:13.232Z,49,49,1.0000
2026-08-04T05:18:08.534Z,49,49,1.0000
2026-08-05T05:17:59.982Z,49,49,1.0000
2026-08-06T05:20:18.158Z,49,49,1.0000
2026-08-07T04:27:52.509Z,49,49,1.0000
2026-08-08T03:30:30.434Z,49,49,1.0000
2026-08-09T03:45:31.137Z,49,49,1.0000
2026-08-10T03:58:51.634Z,49,49,1.0000
2026-08-11T03:47:18.218Z,49,49,1.0000
2026-08-12T04:10:58.044Z,49,49,1.0000
2026-08-13T04:14:35.600Z,49,49,1.0000
2026-08-14T04:12:02.524Z,49,49,1.0000
2026-08-15T02:54:47.569Z,49,49,1.0000
2026-08-16T03:02:22.579Z,49,49,1.0000
2026-08-17T03:02:34.692Z,49,49,1.0000
2026-08-18T02:58:22.064Z,49,49,1.0000
2026-08-19T02:59:19.820Z,49,49,1.0000
2026-08-20T03:00:56.500Z,49,49,1.0000
2026-08-21T03:05:36.954Z,49,49,1.0000
2026-08-22T02:57:54.028Z,49,49,1.0000
2026-08-23T03:06:39.387Z,49,49,1.0000
2026-08-24T03:05:59.590Z,49,49,1.0000
2026-08-25T03:01:05.060Z,49,49,1.0000
2026-08-26T03:08:00.620Z,49,49,1.0000
2026-08-27T12:27:26.999Z,49,49,1.0000
2026-08-28T13:58:05.374Z,49,49,1.0000
2026-08-29T08:44:58.809Z,50,50,1.0000
2026-08-30T08:01:42.156Z,50,50,1.0000
2026-08-31T08:14:24.784Z,50,50,1.0000
2026-09-01T07:26:08.491Z,50,50,1.0000
